Name,Facility Type,AHCA Number (File Number),Phone Number,Licensed Beds,License ID,License Number,License Status,Closed Date,License Effective Date,License Expiration Date,Street Address,Street Address 2,Street City,Street Zip,Street State,Street County,Mailing Address,Mailing Address 2,Mailing City,Mailing State,Mailing Zip,Mailing County,Owner,Owner Since,Profit Status,Web Address,Admin/CEO
,Healthcare Facility,,(305) 695-6208,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 598-1555,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(877) 227-3561,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 643-5253,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 285-1012,12,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 850-7780,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(844) 977-2810,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(844) 977-2810,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 262-4324,120,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 251-7274,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 312-5970,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 240-3305,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 502-8188,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 542-5043,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 523-2352,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 477-0427,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 424-7580,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(719) 400-2222,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(719) 400-2222,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 536-2502,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 536-2502,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 518-3622,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(866) 745-8049,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 238-7770,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 640-5049,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 800-9080,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 262-6070,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 209-1090,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 960-7511,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 204-0757,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 204-0757,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
